Umur,Jenis Kelamin,Wilayah,Tanggapan,cleaned_text,topic_id,topic_category,kategori_akhir
12 sampai 15 tahun,Perempuan,Sibolga Utara,Batu,batu,1,Kerusakan Infrastruktur (Garoga),
12 sampai 15 tahun,Perempuan,Sibolga Utara,Tanah,tanah,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Tiang jatuh,tiang jatuh,1,Kerusakan Infrastruktur (Garoga),
12 sampai 15 tahun,Perempuan,Sibolga Utara,Barang-barang orang hanyut,barangbarang orang hanyut,1,Kerusakan Infrastruktur (Garoga),
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Berubah semua dari yang sebelumnya banyak rumah, lalu sekarang berkurang, lalu banyak batu dan tanah",berubah semua dari yang sebelumnya banyak rumah lalu sekarang berkurang lalu banyak batu dan tanah,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Saya melihat setelah selesainya banjir bandang, rumah banyak roboh/hancur, batu-batu yang besar berserakan, barang-barang berhanyutan, dll.",saya melihat setelah selesainya banjir bandang rumah banyak robohhancur batubatu yang besar berserakan barangbarang berhanyutan dll,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Waktu kejadian alam saya mendengar air sungai sangat deras, batu-batu yang hanyut, hujan yang sangat deras, tanah longsor, dll",waktu kejadian alam saya mendengar air sungai sangat deras batubatu yang hanyut hujan yang sangat deras tanah longsor dll,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Sibolga Utara,Suara sungai mulai terdengar besar dan batu-batu yang ada di sungai bergerak dekat rumah sungai mulai luas,suara sungai mulai terdengar besar dan batubatu yang ada di sungai bergerak dekat rumah sungai mulai luas,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Hujan, air, suara batu, suara angin, suara petir",hujan air suara batu suara angin suara petir,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Ingin nangis karena takut suara hujan, suara angin",ingin nangis karena takut suara hujan suara angin,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Aku ingin menemukan atau bercerita kepada teman, Tuhan, Guru, orangtua, saudara agar kita lega",aku ingin menemukan atau bercerita kepada teman tuhan guru orangtua saudara agar kita lega,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Makanan yang sudah kami makan saat bencana kemarin yaitu sup, indomie, nasi, ikan, mie, sayur",makanan yang sudah kami makan saat bencana kemarin yaitu sup indomie nasi ikan mie sayur,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Saya ingin ketemu sama saudara, dan saya ingin memberi tahun kepada saudara  tentang kejadian saat itu.",saya ingin ketemu sama saudara dan saya ingin memberi tahun kepada saudara tentang kejadian saat itu,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Makanan pada saat kejadian itu adalah indomie, nasi, roti, dan lain-lain, saya rasa makanan itu enak",makanan pada saat kejadian itu adalah indomie nasi roti dan lainlain saya rasa makanan itu enak,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
12 sampai 15 tahun,Perempuan,Sibolga Utara,Pegal,pegal,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Gatal-gatal,gatalgatal,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Sakit,sakit,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Pada saat itu, bahu saya terasa pegal, sakit, dan merasa capek, karena menyandang tas yang besar",pada saat itu bahu saya terasa pegal sakit dan merasa capek karena menyandang tas yang besar,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Setelah bencana bahu mulai terasa sakit karena tidak sempat tidur nyenyak karena tidak tidur di Kasur,setelah bencana bahu mulai terasa sakit karena tidak sempat tidur nyenyak karena tidak tidur di kasur,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Sedih, takut kehilangan orangtua/adik",sedih takut kehilangan orangtuaadik,2,Dampak Psikososial & Trauma,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Gelisah,gelisah,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Tidak senang,tidak senang,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Takut sewaktu datang hujan,takut sewaktu datang hujan,2,Dampak Psikososial & Trauma,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Saya merasakan hati saya sedih, merasa takut, dan pedih karena melihat semuanya pada saat kejadian dan selesai kejadian",saya merasakan hati saya sedih merasa takut dan pedih karena melihat semuanya pada saat kejadian dan selesai kejadian,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Ingin menangis karena mendengar sibolga tidak selamat lagi, sangat sedih mendengar perkataannya ingin mendoakan agar tidak terjadi yang tidak diinginkan",ingin menangis karena mendengar sibolga tidak selamat lagi sangat sedih mendengar perkataannya ingin mendoakan agar tidak terjadi yang tidak diinginkan,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Sibolga Utara,Saya merasakan pingga saya sakit dan perut saya pedih karena lapar,saya merasakan pingga saya sakit dan perut saya pedih karena lapar,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Terasa seperti ingin datang mens yang belum pernah dirasakan, ternyata karena belum makan dari pagi terasa sakit banget",terasa seperti ingin datang mens yang belum pernah dirasakan ternyata karena belum makan dari pagi terasa sakit banget,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Tanganku terasa sakit karena memegang barang-barang atau baju untuk mandi,tanganku terasa sakit karena memegang barangbarang atau baju untuk mandi,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Untuk makan,untuk makan,5,Kebutuhan Logistik & Konsumsi,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Tangan untuk cebok,tangan untuk cebok,5,Kebutuhan Logistik & Konsumsi,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Sakit,sakit,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Kedinginan,kedinginan,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Pegal,pegal,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Kesemutan,kesemutan,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Pada saat itu saya merasakan tangan saya terasa pegal, sakit, lelah karena mengangkat barang, dll.",pada saat itu saya merasakan tangan saya terasa pegal sakit lelah karena mengangkat barang dll,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Sibolga Utara,Disuruh ngangkat air,disuruh ngangkat air,5,Kebutuhan Logistik & Konsumsi,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Mengangkat batu, membantu membereskan rumah, mencuci piring",mengangkat batu membantu membereskan rumah mencuci piring,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Pada saat itu kaki saya terasa sakit, pegal, karena berlari saat kejadian bencana alam",pada saat itu kaki saya terasa sakit pegal karena berlari saat kejadian bencana alam,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Capek lari, kakiku sakit, kakiku terluka",capek lari kakiku sakit kakiku terluka,2,Dampak Psikososial & Trauma,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Sakit, terluka terkena duri, berlari, mengangkat barang",sakit terluka terkena duri berlari mengangkat barang,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Sibolga Utara,"Berjalan membantu orangrua, orang lain, berlari/perlombaan lari karena mulai naik, main-main dengan teman, berjalan-jalan ke sekolah",berjalan membantu orangrua orang lain berlariperlombaan lari karena mulai naik mainmain dengan teman berjalanjalan ke sekolah,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
12 sampai 15 tahun,Laki laki,Sibolga Utara,Agak sedikit santai,agak sedikit santai,5,Kebutuhan Logistik & Konsumsi,
12 sampai 15 tahun,Laki laki,Sibolga Utara,Rumah-rumah tidak ada lagi,rumahrumah tidak ada lagi,1,Kerusakan Infrastruktur (Garoga),
12 sampai 15 tahun,Laki laki,Sibolga Utara,"Suara sungai berbunyi, batu bergetar-getar",suara sungai berbunyi batu bergetargetar,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
12 sampai 15 tahun,Laki laki,Sibolga Utara,Suara hujan,suara hujan,1,Kerusakan Infrastruktur (Garoga),
12 sampai 15 tahun,Laki laki,Sibolga Utara,Suara batu,suara batu,1,Kerusakan Infrastruktur (Garoga),
12 sampai 15 tahun,Laki laki,Sibolga Utara,Suara petir,suara petir,1,Kerusakan Infrastruktur (Garoga),
12 sampai 15 tahun,Laki laki,Sibolga Utara,Mau bertemu keluarga,mau bertemu keluarga,5,Kebutuhan Logistik & Konsumsi,
12 sampai 15 tahun,Laki laki,Sibolga Utara,Indomie,indomie,5,Kebutuhan Logistik & Konsumsi,
12 sampai 15 tahun,Laki laki,Sibolga Utara,Senang,senang,4,Kesehatan & Kecemasan Harian,
12 sampai 15 tahun,Laki laki,Sibolga Utara,Tidak ada,tidak ada,1,Kerusakan Infrastruktur (Garoga),
12 sampai 15 tahun,Laki laki,Sibolga Utara,Takut (jantung deg-deg an) dan khawatir,takut jantung degdeg an dan khawatir,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Laki laki,Sibolga Utara,Tidak kenapa-kenapa,tidak kenapakenapa,2,Dampak Psikososial & Trauma,
12 sampai 15 tahun,Laki laki,Sibolga Utara,Tangan saya terkilir,tangan saya terkilir,2,Dampak Psikososial & Trauma,
12 sampai 15 tahun,Laki laki,Sibolga Utara,Kakiku tidak kenapa-kenapa,kakiku tidak kenapakenapa,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Tapsel,Saya ingin menyelamatkan orang tua,saya ingin menyelamatkan orang tua,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Tapsel,Handphone hilang,handphone hilang,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,"Menyelmatkan orang, jadi super hero",menyelmatkan orang jadi super hero,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Tapsel,Menyelamatkan orang,menyelamatkan orang,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,"Saya pasrah jika hari ini akan mati, ternyata saya selamat. Aku merasa ketakutan dan akan hanyut dan terbawa air deras. Aku tidak takut lagi, masih berani dan tenang.",saya pasrah jika hari ini akan mati ternyata saya selamat aku merasa ketakutan dan akan hanyut dan terbawa air deras aku tidak takut lagi masih berani dan tenang,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Laki laki,Tapsel,Banyak kayu,banyak kayu,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,Garoga kosong,garoga kosong,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,Kosong,kosong,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Laki laki,Tapsel,Hancur Garoga,hancur garoga,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,Kosong,kosong,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Laki laki,Tapsel,Orang hanyut,orang hanyut,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,Teriakan,teriakan,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Laki laki,Tapsel,Orang hanyut,orang hanyut,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,Orang hanyut,orang hanyut,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,Teriakan,teriakan,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Laki laki,Tapsel,Ada tiang listrik,ada tiang listrik,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,banyak batu,banyak batu,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,banyak kayu-kayu,banyak kayukayu,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Laki laki,Tapsel,lihat orang hanyut,lihat orang hanyut,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,Siapapun yang mereka temui akan mereka ceritakan.,siapapun yang mereka temui akan mereka ceritakan,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Laki laki,Tapsel,Makan roti,makan roti,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Laki laki,Tapsel,Makan ayam,makan ayam,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Laki laki,Tapsel,Makan daging sapi,makan daging sapi,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Laki laki,Tapsel,Air putih,air putih,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Laki laki,Tapsel,Indomie dengan nasi,indomie dengan nasi,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Laki laki,Tapsel,"Perasaannya biasa aja, bosan karna makannya itu-itu terus.",perasaannya biasa aja bosan karna makannya ituitu terus,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Tapsel,Lebih banyak merasakan sakit di tangan dan kaki,lebih banyak merasakan sakit di tangan dan kaki,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Tapsel,"Tidak nyaman, sering hujan dan angin kencang.",tidak nyaman sering hujan dan angin kencang,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Tapsel,Karna di tenda takut banjir lagi,karna di tenda takut banjir lagi,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Laki laki,Tapsel,Kondisi dingin,kondisi dingin,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Laki laki,Tapsel,Tidak merasakan sakit dibagian pinggang dan perut. Sakitnya di tangan dan kaki saja,tidak merasakan sakit dibagian pinggang dan perut sakitnya di tangan dan kaki saja,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Tapsel,"Tangan sakit, karna pegangan sama apapun agar tidak hanyut.",tangan sakit karna pegangan sama apapun agar tidak hanyut,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Tapsel,"Kaki sakit, karna menahan untuk bisa pegangan sama apapun agar tidak hanyut.",kaki sakit karna menahan untuk bisa pegangan sama apapun agar tidak hanyut,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Tapsel,Kaki sakit,kaki sakit,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Laki laki,Tapsel,Kaki sakit karna main air,kaki sakit karna main air,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Laki laki,Tapsel,Kaki sakit karna main bola,kaki sakit karna main bola,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,"Saya  merasa sedih, takut kehilangan orang tua.",saya merasa sedih takut kehilangan orang tua,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,Sedih dan takut,sedih dan takut,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Tapsel,Merasakan sedih saat banjir datang membawa gelondongan kayu,merasakan sedih saat banjir datang membawa gelondongan kayu,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Tapsel,"Takut kehilangan orang tua, kakak, abang. Resah dan sakit kena kayu",takut kehilangan orang tua kakak abang resah dan sakit kena kayu,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Tapsel,Merasa sakit hati,merasa sakit hati,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Tapsel,Gelondongan kayu besar dan air besar,gelondongan kayu besar dan air besar,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Tapsel,"Waktu rumah indah, sekarang menjadi kayu gelondongan",waktu rumah indah sekarang menjadi kayu gelondongan,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Tapsel,"Gelodongan kayu besar dan air besar, dulu tidak ada banjir dan kayu besar desa Garoga itu indah",gelodongan kayu besar dan air besar dulu tidak ada banjir dan kayu besar desa garoga itu indah,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Perempuan,Tapsel,Melihat kayu gelondongan besar,melihat kayu gelondongan besar,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Tapsel,"Melihat air yang besar, air mengalir terus, kayu-kayu lewat, rumah kami hancur, penghuni Garoga banyak mati, sekarang warga Garoga gak banyak lagi.",melihat air yang besar air mengalir terus kayukayu lewat rumah kami hancur penghuni garoga banyak mati sekarang warga garoga gak banyak lagi,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Perempuan,Tapsel,"Dulu saya sangat senang, garoga banyak pohon hijau, sekarang hancur berkeping-keping.",dulu saya sangat senang garoga banyak pohon hijau sekarang hancur berkepingkeping,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
8 sampai 11 tahun,Perempuan,Tapsel,Banyak kayu,banyak kayu,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Tapsel,Garoga kosong,garoga kosong,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Tapsel,Kosong,kosong,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Tapsel,Hancur Garoga kosong,hancur garoga kosong,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Tapsel,"Berita tentang banyak orang mati, ternyata hoax",berita tentang banyak orang mati ternyata hoax,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Tapsel,Mendengar teman selamat,mendengar teman selamat,1,Kerusakan Infrastruktur (Garoga),
8 sampai 11 tahun,Perempuan,Tapsel,Mendengar orangtua bersedih,mendengar orangtua bersedih,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Tapsel,"Saya merasa sedih, takut kehilangan orang tua.",saya merasa sedih takut kehilangan orang tua,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,Sedih dan takut,sedih dan takut,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Tapsel,Merasakan sedih saat banjir datang membawa gelondongan kayu,merasakan sedih saat banjir datang membawa gelondongan kayu,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Tapsel,"Takut kehilangan orang tua, kakak, abang. Resah dan sakit kena.",takut kehilangan orang tua kakak abang resah dan sakit kena,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Tapsel,Semoga buku-buku untuk sekolah segera datang.,semoga bukubuku untuk sekolah segera datang,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Tapsel,"Semoga banjir tidak datang lagi, saya mau lihat garoga seperti dulu lagi banyak pohon hijau.",semoga banjir tidak datang lagi saya mau lihat garoga seperti dulu lagi banyak pohon hijau,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Perempuan,Tapsel,Saya mau uang untuk bantu orangtua membeli kebutuhan rumah.,saya mau uang untuk bantu orangtua membeli kebutuhan rumah,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Perempuan,Tapsel,"Saya akan ceritakan kepada bapak desa, ibu bapak bobby.",saya akan ceritakan kepada bapak desa ibu bapak bobby,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Perempuan,Tapsel,Makan roti,makan roti,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Tapsel,Makan ayam,makan ayam,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Tapsel,Makan daging sapi,makan daging sapi,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Tapsel,Air putih,air putih,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Tapsel,Indomie dengan nasi,indomie dengan nasi,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Tapsel,"Makan nasi aja dan air putih, akhirnya bisa makan lagi.",makan nasi aja dan air putih akhirnya bisa makan lagi,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Perempuan,Tapsel,Makan nasi dengan sayur dan air putih.,makan nasi dengan sayur dan air putih,5,Kebutuhan Logistik & Konsumsi,
8 sampai 11 tahun,Perempuan,Tapsel,"Perasaannya biasa aja, bosan karna terlalu sering makan yang sama.",perasaannya biasa aja bosan karna terlalu sering makan yang sama,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,Sakit karna pegal saat banjir.,sakit karna pegal saat banjir,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,Sakit karna tidur di tenda.,sakit karna tidur di tenda,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,Sakit karna kena dorong-dorongan kayu saat banjir,sakit karna kena dorongdorongan kayu saat banjir,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Tapsel,Merasa sedih dan takut,merasa sedih dan takut,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Tapsel,"Sakit hati, karna banjir",sakit hati karna banjir,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Tapsel,Setelah banjir selesai agak lebih tenang karna gak panik lagi macam waktu itu.,setelah banjir selesai agak lebih tenang karna gak panik lagi macam waktu itu,3,Deskripsi Umum Kondisi Banjir,Dampak Aktivitas Harian & Sekolah
8 sampai 11 tahun,Perempuan,Tapsel,Pinggang pegal karna tidur tidak nyaman,pinggang pegal karna tidur tidak nyaman,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,Perut sakit karna banyak makan indomie,perut sakit karna banyak makan indomie,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,Sakit karna pegal,sakit karna pegal,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Tapsel,Sakit karna pegang apapun saat banjir,sakit karna pegang apapun saat banjir,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,Kaki sakit karna bertahan untuk pegangan saat banjir,kaki sakit karna bertahan untuk pegangan saat banjir,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,Kaki sakit berjalan jauh saat banjir,kaki sakit berjalan jauh saat banjir,0,Keluhan Kesehatan Fisik,
8 sampai 11 tahun,Perempuan,Tapsel,Kaki sakit karna setelah banjir berjalan jauh,kaki sakit karna setelah banjir berjalan jauh,0,Keluhan Kesehatan Fisik,
12 sampai 15 tahun,Perempuan,Tapsel,"Saya  takut, khawatir buku sekolah dan barang kesayangan hanyut semua, takut kelaparan dan takut liat orang-orang hanyut.",saya takut khawatir buku sekolah dan barang kesayangan hanyut semua takut kelaparan dan takut liat orangorang hanyut,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Tapsel,"Takut , gelisah, takut hanyut.",takut gelisah takut hanyut,2,Dampak Psikososial & Trauma,
12 sampai 15 tahun,Perempuan,Tapsel,"Saat banjir aku sama mama, tapi mamaku hanyut dan meninggal, sampai saat ini jenazahnya belum ditemukan, aku sedih banget.",saat banjir aku sama mama tapi mamaku hanyut dan meninggal sampai saat ini jenazahnya belum ditemukan aku sedih banget,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Tapsel,"Saat banjir saya takut sekali, karna orangtua (bapak) saya hanyut, tapi alhamdulillah selamat.",saat banjir saya takut sekali karna orangtua bapak saya hanyut tapi alhamdulillah selamat,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Tapsel,Sedih dan menangis karna orangtua saya hanyut saat banjir dan yang tidak hanyut hanya saya saja.,sedih dan menangis karna orangtua saya hanyut saat banjir dan yang tidak hanyut hanya saya saja,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Tapsel,"Disaat banjir saya tidak bisa melihat bagaimana besarnya air itu, saya berdoa kepada Allah meminta adik saya selamat tetapi tidak bisa, saya menangis melihat adik saya hanyut dan meninggal.",disaat banjir saya tidak bisa melihat bagaimana besarnya air itu saya berdoa kepada allah meminta adik saya selamat tetapi tidak bisa saya menangis melihat adik saya hanyut dan meninggal,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Tapsel,"Pada saat banjir saya takut karna air sudah di depan kami, saya dan keluarga sampai kami semua terdorong kereta (motor). Tapi bersyukur kami sekelurga masih selamat.",pada saat banjir saya takut karna air sudah di depan kami saya dan keluarga sampai kami semua terdorong kereta motor tapi bersyukur kami sekelurga masih selamat,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
12 sampai 15 tahun,Perempuan,Tapsel,"Sesudah banjir semua jadi berbeda, semua hancur, rumah kami hancur, sunyi sekali rasanya.",sesudah banjir semua jadi berbeda semua hancur rumah kami hancur sunyi sekali rasanya,3,Deskripsi Umum Kondisi Banjir,Kerusakan Lingkungan & Properti
